Model,MAE,MSE,R2
LinearRegression,82657.9460589282,10549721686.161531,0.9146454505137886
RobustRegression,199465.5595542925,61664910393.24921,0.50108819907282
RidgeRegression,82659.67244409773,10549745186.670174,0.91464526037841
LassoRegression,82657.94662172231,10549717660.356379,0.9146454830853384
ElasticNet,99126.80843102593,15081376466.559593,0.8779812271613102
PolynomialRegression,83413.36424437718,10664698481.80059,0.9137152086661755
DecisitionTree,142092.4183289293,32557556843.095234,0.7365868333418364
RandomForest,98453.65459825088,15114113572.109144,0.8777163613213582
SVR,282947.68758691323,123546565157.52672,0.0004227861838135283
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
