Model,MAE,MSE,R2
LinearRegression,82657.946058922,10549721686.159279,0.9146454505138069
RobustRegression,199465.55955429235,61664910393.24919,0.5010881990728202
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
LassoRegression,82657.9466217223,10549717660.356375,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,83413.36423272327,10664698477.378294,0.9137152087019549
SGDRegressor,1.0263833006208608e+18,1.139795812351007e+36,-9.22173692952537e+24
ANN,199175.4657713155,61417960787.82183,0.5030861922847832
RandomForest,98076.61390120532,14915225880.394163,0.8793255003896384
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
